area,bound_h,bound_w,c_points,c_type,enclosecircle_r,mean_color,peri
593.0,31,30,"[259, 442, 258, 443, 256, 443, 255, 444, 254, 444, 250, 448, 250, 450, 249, 451, 249, 463, 250, 464, 250, 465, 251, 466, 251, 467, 255, 471, 257, 471, 258, 472, 270, 472, 271, 471, 272, 471, 273, 470, 274, 470, 275, 469, 275, 468, 277, 466, 277, 465, 278, 464, 278, 462, 276, 460, 274, 460, 273, 459, 269, 459, 268, 460, 268, 461, 266, 463, 261, 463, 260, 462, 260, 461, 259, 460, 259, 455, 260, 454, 260, 453, 263, 450, 265, 450, 269, 454, 273, 454, 274, 453, 276, 453, 278, 451, 277, 450, 277, 449, 276, 448, 276, 447, 272, 443, 270, 443, 269, 442]",path,16,"[186, 213, 184]",145.0538226366043
305.5,32,11,"[638, 441, 637, 442, 636, 442, 636, 471, 637, 472, 646, 472, 646, 442, 645, 441, 643, 441, 642, 442, 641, 442, 640, 441]",path,16,"[159, 221, 158]",81.0710676908493
711.0,32,31,"[571, 441, 570, 442, 564, 442, 564, 448, 563, 449, 563, 451, 564, 452, 564, 458, 563, 459, 563, 461, 564, 462, 564, 464, 563, 465, 564, 466, 564, 469, 563, 470, 564, 471, 564, 472, 574, 472, 574, 461, 575, 460, 581, 460, 582, 461, 582, 471, 583, 472, 592, 472, 593, 471, 593, 443, 592, 442, 587, 442, 586, 441, 584, 441, 582, 443, 582, 450, 580, 452, 576, 452, 574, 450, 574, 442, 573, 441]",path,20,"[178, 222, 177]",161.11269783973694
707.0,32,32,"[517, 441, 516, 442, 509, 442, 508, 443, 507, 443, 506, 444, 505, 444, 502, 447, 502, 448, 501, 449, 501, 451, 500, 452, 500, 453, 499, 454, 499, 459, 500, 460, 500, 463, 501, 464, 501, 466, 505, 470, 506, 470, 507, 471, 508, 471, 509, 472, 522, 472, 523, 471, 524, 471, 525, 470, 526, 470, 527, 469, 528, 469, 530, 467, 530, 456, 529, 455, 515, 455, 515, 463, 514, 464, 510, 460, 510, 454, 514, 450, 516, 450, 517, 451, 518, 451, 520, 453, 525, 453, 526, 452, 529, 452, 530, 451, 530, 449, 528, 447, 528, 446, 525, 443, 523, 443, 522, 442, 518, 442]",path,17,"[181, 206, 180]",162.2253954410553
508.5,32,26,"[445, 441, 444, 442, 442, 442, 442, 444, 441, 445, 441, 447, 442, 448, 442, 468, 441, 469, 441, 470, 442, 471, 442, 472, 451, 472, 452, 471, 452, 463, 454, 461, 455, 461, 456, 462, 457, 462, 458, 461, 463, 461, 463, 453, 453, 453, 452, 452, 452, 451, 453, 450, 465, 450, 466, 449, 466, 447, 465, 446, 465, 442, 464, 442, 463, 441, 462, 442, 448, 442, 447, 441]",path,18,"[159, 208, 158]",130.04163014888763
712.5,32,27,"[380, 441, 379, 442, 378, 442, 377, 443, 377, 471, 378, 472, 403, 472, 403, 464, 396, 464, 395, 463, 394, 464, 390, 464, 388, 462, 388, 461, 389, 460, 401, 460, 402, 459, 402, 453, 400, 451, 401, 450, 402, 450, 403, 449, 403, 443, 401, 441, 399, 441, 398, 442, 382, 442, 381, 441]",path,19,"[158, 192, 157]",142.04163014888763
779.5,32,29,"[315, 441, 313, 443, 313, 472, 332, 472, 333, 471, 334, 471, 335, 470, 336, 470, 339, 467, 339, 466, 340, 465, 340, 461, 341, 460, 341, 454, 340, 453, 340, 450, 339, 449, 339, 447, 335, 443, 333, 443, 332, 442, 324, 442, 323, 441, 319, 441, 318, 442, 317, 442, 316, 441]",path,18,"[155, 175, 157]",108.87005710601807
783.5,32,29,"[189, 441, 188, 442, 187, 442, 187, 471, 188, 472, 209, 472, 210, 471, 211, 471, 214, 468, 214, 466, 215, 465, 215, 462, 214, 461, 214, 458, 211, 455, 212, 454, 212, 453, 213, 452, 213, 451, 214, 450, 214, 448, 213, 447, 213, 445, 211, 443, 210, 443, 209, 442, 191, 442, 190, 441]",path,18,"[173, 193, 172]",112.87005698680878
629.5,32,33,"[139, 441, 138, 442, 131, 442, 131, 443, 130, 444, 130, 446, 129, 447, 129, 450, 128, 451, 128, 452, 127, 453, 127, 455, 126, 456, 126, 457, 125, 458, 125, 460, 124, 461, 124, 463, 123, 464, 123, 465, 122, 466, 122, 468, 121, 469, 121, 471, 122, 472, 131, 472, 132, 471, 132, 469, 134, 467, 136, 467, 137, 468, 138, 467, 140, 467, 142, 469, 142, 471, 143, 472, 153, 472, 153, 469, 152, 468, 152, 466, 151, 465, 151, 464, 150, 463, 150, 461, 149, 460, 149, 458, 148, 457, 148, 455, 147, 454, 147, 452, 146, 451, 146, 450, 145, 449, 145, 448, 144, 447, 144, 444, 143, 443, 143, 442, 141, 442, 140, 441]",path,19,"[190, 206, 190]",119.84061968326569
6466.0,12,589,"[95, 419, 94, 420, 94, 429, 95, 430, 681, 430, 682, 429, 682, 420, 681, 419]",h-line,294,"[189, 253, 188]",1195.6568541526794
7535.0,158,50,"[366, 237, 365, 238, 365, 392, 366, 393, 366, 394, 412, 394, 414, 392, 413, 391, 413, 240, 414, 239, 412, 237]",rectangle,81,"[230, 215, 105]",409.3137083053589
8411.0,180,48,"[241, 215, 240, 216, 240, 393, 241, 394, 286, 394, 287, 393, 287, 216, 286, 215]",rectangle,92,"[212, 131, 27]",449.65685415267944
9640.0,206,49,"[178, 189, 176, 191, 176, 192, 177, 193, 177, 386, 176, 387, 177, 388, 177, 390, 176, 391, 176, 393, 177, 394, 224, 394, 224, 190, 223, 189]",rectangle,105,"[231, 215, 106]",505.3137083053589
10761.0,230,48,"[619, 165, 618, 166, 618, 393, 619, 394, 664, 394, 665, 393, 665, 166, 664, 165]",rectangle,116,"[142, 86, 228]",549.6568541526794
11513.0,246,48,"[304, 149, 303, 150, 303, 393, 304, 394, 349, 394, 350, 393, 350, 150, 349, 149]",rectangle,124,"[142, 86, 228]",581.6568541526794
12547.0,268,48,"[430, 127, 429, 128, 429, 393, 430, 394, 475, 394, 476, 393, 476, 128, 475, 127]",rectangle,135,"[36, 134, 202]",625.6568541526794
13111.5,280,48,"[556, 115, 555, 116, 555, 394, 601, 394, 602, 393, 602, 116, 601, 115]",rectangle,141,"[213, 131, 27]",650.2426406145096
13300.0,284,49,"[115, 111, 114, 112, 114, 391, 113, 392, 115, 394, 160, 394, 161, 393, 161, 112, 160, 111]",rectangle,143,"[36, 135, 202]",658.4852812290192
13967.0,292,49,"[492, 103, 491, 104, 491, 393, 492, 394, 539, 394, 539, 103]",rectangle,147,"[232, 215, 106]",676.8284270763397
4321.0,394,12,"[78, 33, 77, 34, 77, 425, 78, 426, 87, 426, 88, 425, 88, 34, 87, 33]",v-line,196,"[188, 251, 188]",805.6568541526794
